zip,primary_city,acceptable_cities,state,county
11717,Brentwood,"Edgewood, W Brentwood, West Brentwood",NY,Suffolk County
11718,Brightwaters,,NY,Suffolk County
11719,Brookhaven,,NY,Suffolk County
11720,Centereach,"S Setauket, South Setauket",NY,Suffolk County
11721,Centerport,,NY,Suffolk County
11722,Central Islip,,NY,Suffolk County
11724,Cold Spring Harbor,Cold Spg Hbr,NY,Suffolk County
11725,Commack,,NY,Suffolk County
11726,Copiague,,NY,Suffolk County
11727,Coram,,NY,Suffolk County
11729,Deer Park,,NY,Suffolk County
11730,East Islip,,NY,Suffolk County
11731,East Northport,"E Northport, Elwood",NY,Suffolk County
11732,East Norwich,,NY,Nassau County
11733,East Setauket,Setauket,NY,Suffolk County
11735,Farmingdale,"S Farmingdale, South Farmingdale",NY,Nassau County
11736,Farmingdale,,NY,Nassau County
11737,Farmingdale,,NY,Nassau County
11738,Farmingville,,NY,Suffolk County
11739,Great River,,NY,Suffolk County
11740,Greenlawn,,NY,Suffolk County
11741,Holbrook,,NY,Suffolk County
11742,Holtsville,,NY,Suffolk County
11743,Huntington,"Halesite, Lloyd Harbor",NY,Suffolk County
11746,Huntington Station,"Dix Hills, Huntingtn Sta, S Huntington, South Huntington",NY,Suffolk County
11747,Melville,"Huntingtn Sta, Huntington Station",NY,Suffolk County
11749,Islandia,"Central Islip, Hauppauge, Ronkonkoma",NY,Suffolk County
11750,Huntington Station,"Huntingtn Sta, Melville",NY,Suffolk County
11751,Islip,,NY,Suffolk County
11752,Islip Terrace,,NY,Suffolk County
11753,Jericho,,NY,Nassau County
11754,Kings Park,,NY,Suffolk County
11755,Lake Grove,,NY,Suffolk County
11756,Levittown,,NY,Nassau County
11757,Lindenhurst,,NY,Suffolk County
11758,Massapequa,"N Massapequa, North Massapequa",NY,Nassau County
11760,Melville,,NY,Suffolk County
11762,Massapequa Park,Massapequa Pk,NY,Nassau County
11763,Medford,,NY,Suffolk County
11764,Miller Place,,NY,Suffolk County
11765,Mill Neck,,NY,Nassau County
